"","Date","Governorate","Target","facility_type"
"1","26/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"2","26/03/2015","Lahj","Sana'a International Airport","Transport"
"3","26/03/2015","Lahj","Residential Area","Residential Area"
"4","26/03/2015","Lahj","Presidential Palace","Military Site"
"5","26/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"6","26/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"7","26/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"8","26/03/2015","Lahj","Special Forces Military Camp","Military Site"
"9","26/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"10","26/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"11","26/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"12","26/03/2015","Lahj","Al-Farijah Military Camp","Military Site"
"13","26/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"14","26/03/2015","Lahj","Al-Estiqbal Military Camp","Military Site"
"15","26/03/2015","Lahj","Special Forces Military Camp","Military Site"
"16","26/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"17","26/03/2015","Sa'ada","33rd Armoured Brigade ","Military Site"
"18","26/03/2015","Sa'ada","Al-Sadrayn Military Camp","Military Site"
"19","26/03/2015","Al Hudaydah","Haqqah School","School"
"20","26/03/2015","Al Hudaydah","-","Unknown"
"21","26/03/2015","Al Bayda","Al-Anad Airbase","Military Site"
"22","26/03/2015","Al Bayda","Al-Anad Airbase","Military Site"
"23","26/03/2015","Al Mahwit","House","Figure"
"24","26/03/2015","Al Mahwit","Missiles Brigade Camp","Weapon storage"
"25","26/03/2015","Al Mahwit","-","Unknown"
"26","26/03/2015","Al Mahwit","Sa'ada Airport","Transport"
"27","26/03/2015","Al Mahwit","-","Unknown"
"28","26/03/2015","Al Mahwit","-","Unknown"
"29","26/03/2015","Al Mahwit","Badw Tents","Residential Area"
"30","26/03/2015","Al Mahwit","Mountain","Unknown"
"31","26/03/2015","Lahj","SSF Camp","Military Site"
"32","26/03/2015","Lahj","Taiz Airport","Transport"
"33","26/03/2015","Lahj","Tariq Air Base","Military Site"
"34","27/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"35","27/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"36","27/03/2015","Lahj","Presidential Palace","Military Site"
"37","27/03/2015","Lahj","Aviation college","Military Site"
"38","27/03/2015","Lahj","Sana'a International Airport","Transport"
"39","27/03/2015","Lahj","Aviation college","Military Site"
"40","27/03/2015","Lahj","Presidential Palace","Military Site"
"41","27/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"42","27/03/2015","Lahj","Special Forces Military Camp","Military Site"
"43","27/03/2015","Lahj","Al-Khorafi Hill","Military Site"
