"","Date","Cases","Deaths","case_fatality","attack_rate","COD"
"1",2018-02-18,103965,176,0.2,89.582,"Amran"
"2",2018-02-18,62887,151,0.2,86.122,"Al Mahwit"
"3",2018-02-18,47136,81,0.2,64.438,"Al Dhale'e"
"4",2018-02-18,121287,422,0.3,52.06,"Hajjah"
"5",2018-02-18,76250,123,0.2,51.859,"Sana'a"
"6",2018-02-18,103214,161,0.2,51.292,"Dhamar"
"7",2018-02-18,28243,35,0.1,49.477,"Abyan"
"8",2018-02-18,155908,282,0.2,48.147,"Al Hudaydah"
"9",2018-02-18,30568,36,0.1,40.253,"Al Bayda"
"10",2018-02-18,103184,71,0.1,36.489,"Amanat Al Asimah"
"11",2018-02-18,17841,120,0.7,29.403,"Raymah"
"12",2018-02-18,16018,22,0.1,27.685,"Al Jawf"
"13",2018-02-18,24342,22,0.1,24.128,"Lahj"
"14",2018-02-18,20966,62,0.3,22.715,"Aden"
"15",2018-02-18,67129,288,0.4,22.701,"Ibb"
"16",2018-02-18,63696,188,0.3,21.244,"Taizz"
"17",2018-02-18,7288,7,0.1,20.327,"Marib"
"18",2018-02-18,10706,5,0,11.828,"Sa'ada"
"19",2018-02-18,1168,1,0.1,7.866,"Al Maharah"
"20",2018-02-18,1399,3,0.2,2.315,"Shabwah"
"21",2018-02-11,103814,176,0.2,89.452,"Amran"
"22",2018-02-11,62606,151,0.2,85.737,"Al Mahwit"
"23",2018-02-11,47135,81,0.2,64.436,"Al Dhale'e"
"24",2018-02-11,121287,422,0.3,52.06,"Hajjah"
"25",2018-02-11,75856,123,0.2,51.591,"Sana'a"
"26",2018-02-11,102774,161,0.2,51.074,"Dhamar"
"27",2018-02-11,28243,35,0.1,49.477,"Abyan"
"28",2018-02-11,155245,282,0.2,47.942,"Al Hudaydah"
"29",2018-02-11,30265,36,0.1,39.854,"Al Bayda"
"30",2018-02-11,102493,71,0.1,36.244,"Amanat Al Asimah"
"31",2018-02-11,17641,120,0.7,29.073,"Raymah"
"32",2018-02-11,15965,22,0.1,27.593,"Al Jawf"
"33",2018-02-11,24342,22,0.1,24.128,"Lahj"
"34",2018-02-11,20954,62,0.3,22.702,"Aden"
"35",2018-02-11,66609,288,0.4,22.525,"Ibb"
"36",2018-02-11,63592,188,0.3,21.209,"Taizz"
"37",2018-02-11,7286,7,0.1,20.321,"Marib"
