Date,Governorate,Cases,Deaths,CFR (%),Attack Rate (per 1000),COD Gov English,COD Gov Arabic,COD Gov Pcode
2017-08-21,Abyan,19103,34,0.2,312.50,Abyan,أبين,12
2017-08-21,Aden,14779,56,0.4,154.48,Aden,عدن,24
2017-08-21,Al Bayda,16351,26,0.2,212.31,Al Bayda,البيضاء,14
2017-08-21,Al Dhale'e,31725,77,0.2,421.11,Al Dhale'e,الضالع,30
2017-08-21,Al Hudaydah,65568,237,0.4,195.99,Al Hudaydah,الحديدة,18
2017-08-21,Al Jawf,6596,18,0.3,101.67,Al Jawf,الجوف,16
2017-08-21,Al Maharah,1028,1,0.1,63.31,Al Maharah,المهرة,28
2017-08-21,Al Mahwit,32883,132,0.4,432.26,Al Mahwit,المحويت,27
2017-08-21,Amanat Al Asimah,63480,63,0.1,191.87,Amanat Al Asimah,أمانة العاصمة,13
2017-08-21,Amran,55996,154,0.3,366.03,Amran,عمران,29
2017-08-21,Dhamar,45704,142,0.3,215.48,Dhamar,ذمار,20
2017-08-21,Hajjah,58490,381,0.7,236.36,Hajjah,حجة,17
2017-08-21,Ibb,38012,252,0.7,124.01,Ibb,إب,11
2017-08-21,Lahj,12150,17,0.1,115.43,Lahj,لحج,25
2017-08-21,Marib,3281,4,0.1,91.24,Marib,مأرب,26
2017-08-21,Moklla,145,1,0.7,1.81,#N/A,#N/A,#N/A
2017-08-21,Raymah,9581,105,1.1,151.18,Raymah,ريمة,31
2017-08-21,Sa'ada,2359,5,0.2,26.50,Sa'ada,صعدة,22
2017-08-21,Sana'a,30086,122,0.4,240.53,Sana'a,صنعاء,23
2017-08-21,Say'on,10,0,0.0,0.15,#N/A,#N/A,#N/A
2017-08-21,Shabwah,646,1,0.2,9.99,Shabwah,شبوة,21
2017-08-21,Taizz,34850,175,0.5,113.91,Taizz,تعز,15
2017-08-20,Abyan,19102,34,0.2,312.48,Abyan,أبين,12
2017-08-20,Aden,14666,53,0.4,153.30,Aden,عدن,24
2017-08-20,Al Bayda,16173,26,0.2,210.00,Al Bayda,البيضاء,14
2017-08-20,Al Dhale'e,31368,77,0.3,416.37,Al Dhale'e,الضالع,30
2017-08-20,Al Hudaydah,64624,237,0.4,193.16,Al Hudaydah,الحديدة,18
2017-08-20,Al Jawf,6439,18,0.3,99.25,Al Jawf,الجوف,16
2017-08-20,Al Maharah,1021,1,0.1,62.88,Al Maharah,المهرة,28
2017-08-20,Al Mahwit,32674,132,0.4,429.51,Al Mahwit,المحويت,27
2017-08-20,Amanat Al Asimah,62977,63,0.1,190.35,Amanat Al Asimah,أمانة العاصمة,13
2017-08-20,Amran,55473,154,0.3,362.61,Amran,عمران,29
2017-08-20,Dhamar,45035,142,0.3,212.33,Dhamar,ذمار,20
2017-08-20,Hajjah,57770,381,0.7,233.45,Hajjah,حجة,17
2017-08-20,Ibb,37813,252,0.7,123.36,Ibb,إب,11
2017-08-20,Lahj,11689,17,0.2,111.05,Lahj,لحج,25
2017-08-20,Marib,3201,4,0.1,89.02,Marib,مأرب,26
2017-08-20,Moklla,145,1,0.7,1.81,#N/A,#N/A,#N/A
2017-08-20,Raymah,9492,105,1.1,149.77,Raymah,ريمة,31
2017-08-20,Sa'ada,2313,5,0.2,25.98,Sa'ada,صعدة,22
2017-08-20,Sana'a,29992,122,0.4,239.78,Sana'a,صنعاء,23
2017-08-20,Say'on,10,0,0.0,0.15,#N/A,#N/A,#N/A
2017-08-20,Shabwah,617,1,0.2,9.54,Shabwah,شبوة,21
2017-08-20,Taizz,34728,175,0.5,113.51,Taizz,تعز,15
2017-08-19,Abyan,18865,34,0.2,308.60,Abyan,أبين,12
2017-08-19,Aden,14555,53,0.4,152.14,Aden,عدن,24
2017-08-19,Al Bayda,16011,26,0.2,207.89,Al Bayda,البيضاء,14
2017-08-19,Al Dhale'e,31038,77,0.3,411.99,Al Dhale'e,الضالع,30
2017-08-19,Al Hudaydah,63681,237,0.4,190.34,Al Hudaydah,الحديدة,18
2017-08-19,Al Jawf,6345,18,0.3,97.80,Al Jawf,الجوف,16
2017-08-19,Al Maharah,1021,1,0.1,62.88,Al Maharah,المهرة,28
2017-08-19,Al Mahwit,32357,132,0.4,425.34,Al Mahwit,المحويت,27
2017-08-19,Amanat Al Asimah,62557,62,0.1,189.08,Amanat Al Asimah,أمانة العاصمة,13
2017-08-19,Amran,54878,154,0.3,358.72,Amran,عمران,29
2017-08-19,Dhamar,44410,141,0.3,209.38,Dhamar,ذمار,20
2017-08-19,Hajjah,57382,381,0.7,231.88,Hajjah,حجة,17
2017-08-19,Ibb,37510,252,0.7,122.37,Ibb,إب,11
2017-08-19,Lahj,11688,17,0.2,111.05,Lahj,لحج,25
2017-08-19,Marib,3159,4,0.1,87.85,Marib,مأرب,26
2017-08-19,Moklla,145,1,0.7,1.81,#N/A,#N/A,#N/A
2017-08-19,Raymah,9386,105,1.1,148.10,Raymah,ريمة,31
2017-08-19,Sa'ada,2210,5,0.2,24.82,Sa'ada,صعدة,22
2017-08-19,Sana'a,29868,122,0.4,238.79,Sana'a,صنعاء,23
2017-08-19,Say'on,10,0,0.0,0.15,#N/A,#N/A,#N/A
2017-08-19,Shabwah,616,1,0.2,9.53,Shabwah,شبوة,21
2017-08-19,Taizz,34616,175,0.5,113.15,Taizz,تعز,15
2017-08-18,Abyan,18634,34,0.2,304.82,Abyan,أبين,12
2017-08-18,Aden,14479,52,0.4,151.35,Aden,عدن,24
2017-08-18,Al Bayda,15832,26,0.2,205.57,Al Bayda,البيضاء,14
2017-08-18,Al Dhale'e,30783,77,0.3,408.61,Al Dhale'e,الضالع,30
2017-08-18,Al Hudaydah,62873,237,0.4,187.93,Al Hudaydah,الحديدة,18
2017-08-18,Al Jawf,6183,18,0.3,95.31,Al Jawf,الجوف,16
2017-08-18,Al Maharah,995,1,0.1,61.27,Al Maharah,المهرة,28
2017-08-18,Al Mahwit,32054,132,0.4,421.36,Al Mahwit,المحويت,27
2017-08-18,Amanat Al Asimah,62367,62,0.1,188.51,Amanat Al Asimah,أمانة العاصمة,13
2017-08-18,Amran,54380,154,0.3,355.46,Amran,عمران,29
2017-08-18,Dhamar,43714,141,0.3,206.10,Dhamar,ذمار,20
2017-08-18,Hajjah,56652,381,0.7,228.93,Hajjah,حجة,17
2017-08-18,Ibb,37347,252,0.7,121.84,Ibb,إب,11
2017-08-18,Lahj,11686,17,0.2,111.03,Lahj,لحج,25
2017-08-18,Marib,3128,4,0.1,86.99,Marib,مأرب,26
2017-08-18,Moklla,133,1,0.8,1.66,#N/A,#N/A,#N/A
2017-08-18,Raymah,9278,105,1.1,146.40,Raymah,ريمة,31
2017-08-18,Sa'ada,2210,5,0.2,24.82,Sa'ada,صعدة,22
2017-08-18,Sana'a,29699,122,0.4,237.44,Sana'a,صنعاء,23
2017-08-18,Say'on,10,0,0.0,0.15,#N/A,#N/A,#N/A
2017-08-18,Shabwah,614,1,0.2,9.49,Shabwah,شبوة,21
2017-08-18,Taizz,34417,175,0.5,112.50,Taizz,تعز,15
2017-08-17,Abyan,18469,34,0.2,302.13,Abyan,أبين,12
2017-08-17,Aden,14414,52,0.4,150.67,Aden,عدن,24
2017-08-17,Al Bayda,15744,26,0.2,204.43,Al Bayda,البيضاء,14
2017-08-17,Al Dhale'e,29755,77,0.3,394.96,Al Dhale'e,الضالع,30
2017-08-17,Al Hudaydah,62190,235,0.4,185.89,Al Hudaydah,الحديدة,18
2017-08-17,Al Jawf,6091,18,0.3,93.89,Al Jawf,الجوف,16
2017-08-17,Al Maharah,995,1,0.1,61.27,Al Maharah,المهرة,28
2017-08-17,Al Mahwit,31739,131,0.4,417.22,Al Mahwit,المحويت,27
2017-08-17,Amanat Al Asimah,62193,62,0.1,187.98,Amanat Al Asimah,أمانة العاصمة,13
2017-08-17,Amran,53940,154,0.3,352.59,Amran,عمران,29
