"","X","Date","Cases","Deaths","case_fatality","attack_rate","COD","newcases"
"1",6,"2017-05-22",1791,23,1.3,0.59,"Taizz",1791
"2",23,"2017-05-27",3394,30,0.9,1.12,"Taizz",1603
"3",43,"2017-05-30",4399,38,0.9,5.58,"Taizz",1005
"4",61,"2017-06-04",5608,48,0.9,1.85,"Taizz",1209
"5",80,"2017-06-07",7227,55,0.8,2.38,"Taizz",1619
"6",99,"2017-06-10",9172,68,0.7,3.02,"Taizz",1945
"7",119,"2017-06-12",9711,73,0.8,3.2,"Taizz",539
"8",139,"2017-06-13",10710,77,0.7,3.53,"Taizz",999
"9",159,"2017-06-14",11264,79,0.7,3.71,"Taizz",554
"10",179,"2017-06-17",12655,91,0.7,4.17,"Taizz",1391
"11",199,"2017-06-18",13194,92,0.7,4.35,"Taizz",539
"12",219,"2017-06-19",13532,99,0.7,4.5,"Taizz",338
"13",239,"2017-06-20",14113,102,0.7,4.7,"Taizz",581
"14",259,"2017-06-21",14513,108,0.7,4.8,"Taizz",400
"15",279,"2017-06-22",15084,111,0.7,0.5,"Taizz",571
"16",299,"2017-06-23",15360,115,0.7,5.1,"Taizz",276
"17",319,"2017-06-24",15817,120,0.8,5.2,"Taizz",457
"18",340,"2017-06-25",15995,120,0.8,5.3,"Taizz",178
"19",360,"2017-06-26",16388,121,0.7,5.4,"Taizz",393
"20",379,"2017-06-27",17042,121,0.7,5.6,"Taizz",654
"21",399,"2017-06-28",17265,123,0.7,5.7,"Taizz",223
"22",420,"2017-06-29",17636,126,0.7,5.8,"Taizz",371
"23",440,"2017-06-30",18139,126,0.7,6,"Taizz",503
"24",461,"2017-07-01",18729,132,0.7,6.2,"Taizz",590
"25",482,"2017-07-02",19079,134,0.7,6.3,"Taizz",350
"26",503,"2017-07-03",20222,141,0.7,6.7,"Taizz",1143
"27",524,"2017-07-04",20637,142,0.7,6.8,"Taizz",415
"28",545,"2017-07-05",21189,146,0.7,7,"Taizz",552
"29",566,"2017-07-06",21421,146,0.7,7.1,"Taizz",232
"30",587,"2017-07-07",21836,146,0.7,7.2,"Taizz",415
"31",608,"2017-07-10",22466,150,0.7,7.4,"Taizz",630
"32",629,"2017-07-11",22903,150,0.7,7.5,"Taizz",437
"33",650,"2017-07-12",22905,150,0.7,7.6,"Taizz",2
"34",671,"2017-07-13",23446,154,0.7,7.7,"Taizz",541
"35",692,"2017-07-14",23870,155,0.6,7.9,"Taizz",424
"36",713,"2017-07-15",24303,157,0.6,8,"Taizz",433
"37",734,"2017-07-16",24656,157,0.6,8.1,"Taizz",353
"38",755,"2017-07-17",25142,159,0.6,8.3,"Taizz",486
"39",776,"2017-07-18",25664,160,0.6,8.5,"Taizz",522
"40",797,"2017-07-19",25927,161,0.6,8.5,"Taizz",263
"41",818,"2017-07-20",26220,162,0.6,8.6,"Taizz",293
"42",839,"2017-07-21",26516,162,0.6,8.7,"Taizz",296
"43",860,"2017-07-22",27245,164,0.6,9,"Taizz",729
"44",881,"2017-07-23",27638,164,0.6,9.1,"Taizz",393
"45",902,"2017-07-24",27937,166,0.6,9.2,"Taizz",299
"46",923,"2017-07-25",28261,168,0.6,9.3,"Taizz",324
"47",944,"2017-07-26",28383,168,0.6,9.4,"Taizz",122
"48",965,"2017-07-27",28897,169,0.6,9.5,"Taizz",514
"49",986,"2017-07-28",29179,169,0.6,9.6,"Taizz",282
"50",1007,"2017-07-29",29428,169,0.6,9.7,"Taizz",249
"51",1028,"2017-07-30",29716,170,0.6,9.8,"Taizz",288
"52",1049,"2017-07-31",30218,170,0.6,10,"Taizz",502
"53",1070,"2017-08-01",30485,170,0.6,10,"Taizz",267
"54",1091,"2017-08-03",31222,170,0.5,10.3,"Taizz",737
"55",1119,"2017-08-06",31856,170,0.5,10.41,"Taizz",634
"56",1146,"2017-08-13",33236,174,0.5,10.86,"Taizz",1380
"57",1167,"2017-08-15",33707,175,0.5,11.017,"Taizz",471
"58",1188,"2017-08-16",33908,175,0.5,11.083,"Taizz",201
"59",1209,"2017-08-17",34215,175,0.5,11.184,"Taizz",307
"60",1230,"2017-08-18",34417,175,0.5,11.25,"Taizz",202
"61",1251,"2017-08-19",34616,175,0.5,11.315,"Taizz",199
"62",1272,"2017-08-20",34728,175,0.5,11.351,"Taizz",112
"63",1293,"2017-08-21",34850,175,0.5,11.391,"Taizz",122
