Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Time,Air Raids,Naval,Unknown Time,Comments
00001,26/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,2,unkn,,Early-Morning,
00002,26/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,2,unkn,,Early-Morning,
00003,26/03/2015,Capital,Bani Al-Harith,Al-Sonblah Neighbourhood,Residential Area,Civilian,Residential Area,2,unkn,,Early-Morning,
00004,26/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,3,unkn,,Early-Morning,
00005,26/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,3,unkn,,Early-Morning,
00006,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00007,26/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00008,26/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00009,26/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Afternoon,
00010,26/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,16,1,,Afternoon,
00011,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,16,1,,Afternoon,
00012,26/03/2015,Sanaa,Arhab,Al-Farijah,Al-Farijah Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening,
00013,26/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening,
00014,26/03/2015,Sanaa,Hamdan,Dhila'a,Al-Estiqbal Military Camp,Military_Security_Target,Military Site,21,1,,Evening,
00015,26/03/2015,Sanaa,Bani Matar,Al-Subahah,Special Forces Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening,
00016,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,21,1,,Evening,
00017,26/03/2015,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,21,unkn,,Evening,
00018,26/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening,
00019,26/03/2015,Hajja,Washhah,-,Haqqah School,Educational_Facility,School,unkn,unkn,,Afternoon,
00020,26/03/2015,Hajja,Washhah,"Samir, Shammakh mountains",-,Unknown,Unknown,unkn,unkn,,Afternoon,
00021,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,3,unkn,,Early-Morning,
00022,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,21,3,,Evening,
00023,26/03/2015,Saada,Haydan,Marran,House,Political_Tribal,Figure,unkn,2,,Early-Morning,
00024,26/03/2015,Saada,Haydan,Maa,Missiles Brigade Camp,Military_Security_Target,Weapon storage,unkn,unkn,,Early-Morning,
00025,26/03/2015,Saada,Al-Dhaher,Al-Malaheet,-,Unknown,Unknown,unkn,unkn,,Early-Morning,
00026,26/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,15,unkn,,Afternoon,
00027,26/03/2015,Saada,Majz,Dhahyan,-,Unknown,Unknown,15,unkn,,Afternoon,
00028,26/03/2015,Saada,Al-Safra'a,Al-Naqa'ah,-,Unknown,Unknown,15,unkn,,Afternoon,
00029,26/03/2015,Saada,Kitaf Wa Al-Boqe'e,Beer Zaid,Badw Tents,Civilian,Residential Area,15,unkn,,Afternoon,
00030,26/03/2015,Saada,Al-Dhaher,Al-Marwee,Mountain,Unknown,Unknown,15,1,,Afternoon,
00031,26/03/2015,Taiz,Salah,-,SSF Camp,Military_Security_Target,Military Site,20,unkn,,Evening,
00032,26/03/2015,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,20,unkn,,Evening,
00033,26/03/2015,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,20,unkn,,Evening,
00034,27/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00035,27/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00036,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00037,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation college,Military_Security_Target,Military Site,9,unkn,,Morning,
00038,27/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,7,unkn,,Evening,
00039,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation college,Military_Security_Target,Military Site,20,unkn,,Evening,
00040,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,8,unkn,,Evening,
00041,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,2,,Early-Morning,
00042,27/03/2015,Sanaa,Bani Matar,Al-Subahah,Special Forces Military Camp,Military_Security_Target,Military Site,2,unkn,,Early-Morning,
00043,27/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Hill,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00044,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00045,27/03/2015,Sanaa,Bani Matar,Al-Nabi Shua'ib Mountain,Radars Centre,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00046,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00047,27/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00048,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,,Evening,
00049,27/03/2015,Sanaa,Bani Matar,Al-Subahah,Special Forces Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening,
00050,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,20,unkn,,Evening,
00051,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,8,unkn,,Evening,
00052,27/03/2015,Sanaa,Sanhan,Al-Sawad,48 hospital,Medical_Facility,Hospital,unkn,unkn,,Night,
00053,27/03/2015,Abyan,Zinjibar,Wadi Hassan ,Military Convoy,Military_Security_Target,Moving Target (weapons/fighters),23,1,,Night,
00054,27/03/2015,Dhalie,Al-Dhalie,The City,Aboud Military Camp,Military_Security_Target,Military Site,unkn,2,,Evening,
00055,27/03/2015,Dhalie,Al-Dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,unkn,2,,Evening,
00056,27/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,unkn,1,,Evening,
00057,27/03/2015,Hudaydah,Al-Salif,Al-Salif port,Air Defence Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00058,27/03/2015,Hudaydah,Al-Salif,-,Al-Salif port,Infrastructure,Transport,22,1,,Night,
00059,27/03/2015,Marib,Marib,Safer,49 Air Defence Battalion,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00060,27/03/2015,Marib,Majzar,Mas ,Mas Military Camp,Military_Security_Target,Military Site,unkn,2,,Midday,
00061,27/03/2015,Marib,Marib,Safer,Air Defence Military Site located near the Safer Oil Facility,Military_Security_Target,Military Site,unkn,unkn,,Afternoon,
00062,27/03/2015,Saada,Shada'a,-,-,Unknown,Unknown,2,unkn,,Early-Morning,
00063,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00064,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e Market,Residential Area,Civilian,Market place,unkn,unkn,,Morning,
00065,27/03/2015,Saada,Majz,Dhahyan,-,Unknown,Unknown,unkn,unkn,,Midday,
00066,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Salim,-,Unknown,Unknown,unkn,unkn,,Midday,
00067,27/03/2015,Saada,Monabbih,Ozlat Al-Maswad,Civilian's house,Civilian,Residential Area,17,unkn,,Afternoon,
00068,28/03/2015,Capital,Azal,Noqom Mountain,Weapons Stores,Military_Security_Target,Weapon storage,3,unkn,,Early-Morning,
00069,28/03/2015,Capital,Al-Wahdah,Hadda,House,Political_Tribal,Figure,3,unkn,,Early-Morning,
00070,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,4,unkn,,Early-Morning,
00071,28/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation college,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning,
00072,28/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,19,unkn,,Evening,
00073,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,24,unkn,,Evening,
00074,28/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Evening,
00075,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,5,,Early-Morning,
00076,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,,Evening,
00077,28/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening,
00078,28/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening,
00079,28/03/2015,Abyan,Khanfir,Shaqrah,115th Infantry Brigade,Military_Security_Target,Military Site,23,unkn,unkn,Afternoon,
00080,28/03/2015,Abyan,Zinjibar,Wadi Hassan ,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,unkn,Evening,
00081,28/03/2015,Amran,Qaflah Odhr,,Al-Qashlah Military Camp,Military_Security_Target,Military Site,17,3,,Afternoon,
00082,28/03/2015,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,1,unkn,,Early-Morning,
00083,28/03/2015,Hajja,Abs,-,25th Mechanized Infantry Brigade,Military_Security_Target,Military Site,unkn,unkn,,Night,
00084,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanha,Al-Hudaydah Airport,Infrastructure,Transport,19,unkn,,Evening,
00085,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanha,"Military Airport, Air Defence forces, Radars",Military_Security_Target,Military Site,20,unkn,,Evening,
00086,28/03/2015,Hudaydah,Al-Hudaydah City,Al-Damghah Neighbourhood,Residential Area,Civilian,Residential Area,unkn,unkn,,Evening,
00087,28/03/2015,Hudaydah,Bajil,Kilo 7,Coastal defense military camp,Military_Security_Target,Military Site,unkn,unkn,,Evening,
00088,28/03/2015,Jawf,Al-Ghayl,-,House,Political_Tribal,Figure,unkn,unkn,,Midday,
00089,28/03/2015,Marib,Marib,The City,180th Air Defence Military Camp Radars,Military_Security_Target,Military Site,unkn,1,,Early-Morning,
00090,28/03/2015,Marib,Marib,Sahn Al-Jin,14th Armoured Brigade,Military_Security_Target,Military Site,17,1,,Afternoon,
